"species_name_lat","site","A_obs","A_mod","diff","A_obs_rd","A_mod_rd"
"Corvus_cornix","C",4.91803278688525,1.34869568998163,3.56933709690362,5,1
"Corvus_cornix","RA",2.94117647058824,1.4896901845932,1.45148628599504,3,1
"Corvus_cornix","S",9.09090909090909,2.09941959381104,6.99148949709805,9,2
"Corvus_cornix","RB",3.7037037037037,2.36044502258301,1.34325868112069,4,2
"Corvus_cornix","N",7.39130434782609,1.16214090771973,6.22916344010636,7,1
"Columba_palumbus","C",15.3005464480874,3.71948927099054,11.5810571770969,15,4
"Columba_palumbus","RA",7.35294117647059,4.2331006526947,3.11984052377589,7,4
"Columba_palumbus","S",13.6363636363636,3.97607755661011,9.66028607975349,14,4
"Columba_palumbus","RB",11.1111111111111,4.91495561599731,6.19615549511379,11,5
"Columba_palumbus","N",3.47826086956522,3.96579901874065,-0.48753814917543,3,4
