"site"	"Date"	"latitude"	"longitude"	"MIN_temp"	"MAX_temp"	"MEAN_temp"	"MIN_hum"	"MAX_hum"	"MEAN_hum"	"AB_Culex_pipiens_ss"	"AB_Culex_mimeticus"	"AB_Culex_modestus"	"AB_Culex_sp"	"AB_Culiseta_annulata"	"AB_Culiseta_morsitans"	"AB_Culiseta_sp"	"AB_Coquilletidia_richardii"	"AB_Aedes_vexans"	"AB_Aedes_cinereus_geminus"	"AB_Aedes_rossicus"	"AB_Aedes_caspius"	"AB_Aedes_cataphylla"	"AB_Aedes_annulipes_cantans"	"AB_Aedes_geniculatus"	"AB_Aedes_sticticus"	"AB_Aedes_sp"	"AB_Anopheles_plumbeus"	"AB_Anopheles_claviger"	"AB_Anopheles_sp"	"AB_unidentified"	"WNV_Culex_pipiens_ss"	"WNV_Culex_sp"	"WNV_Aedes_vexans"	"WNV_Anopheles_plumbeus"	"WNV_unidentified"
"C"	"20.06.2023"	"52.457804"	"13.366372"	19.1	28.1	23.18333333	50.5	100	83.16041667	162	0	0	20	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0
"C"	"21.06.2023"	"52.457804"	"13.366372"	18.6	28.1	23.42291667	44.8	92.9	68.04583333	53	0	0	190	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
"C"	"22.06.2023"	"52.457804"	"13.366372"	17.1	27.1	19.79117647	48.6	100	88.48529412	153	0	0	34	0	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0
"C"	"17.07.2023"	"52.457804"	"13.366372"	14.1	25.6	20.5375	36	86.4	56.62708333	337	0	2	57	0	0	0	2	8	4	0	0	0	1	7	0	1	6	0	2	0	0	0	0	0	0
"C"	"18.07.2023"	"52.457804"	"13.366372"	13.6	26.6	20.1625	37.5	82.3	59.54791667	613	0	3	29	0	0	0	0	7	3	0	0	0	0	1	1	1	1	0	0	0	2	0	0	0	0
"C"	"19.07.2023"	"52.457804"	"13.366372"	15.1	23.6	18.4125	41.8	100	78.22916667	167	0	0	126	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	3	5	0	0	0
"C"	"20.07.2023"	"52.457804"	"13.366372"	11.6	22.1	15.80588235	42.4	94.1	76.59705882	349	0	1	89	2	0	0	0	0	2	0	0	0	1	3	0	1	2	0	2	0	3	2	0	0	0
"C"	"21.08.2023"	"52.457804"	"13.366372"	19.1	25.1	21.51666667	49.8	79.8	68.5625	143	0	0	22	0	0	0	0	3	8	0	0	0	0	1	0	0	12	0	0	0	3	0	1	1	0
"C"	"22.08.2023"	"52.457804"	"13.366372"	14.6	25.6	19.9125	46.1	97.4	77.1875	139	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	4	0	0	0	0
"C"	"23.08.2023"	"52.457804"	"13.366372"	15.6	26.1	20.725	52.4	94.9	72.8375	150	0	0	4	0	0	0	2	0	3	0	0	0	0	8	0	0	9	0	0	0	5	0	0	0	0
"C"	"24.08.2023"	"52.457804"	"13.366372"	19.6	30.1	21.83529412	59.7	85.7	76.04705882	128	0	0	13	0	1	0	0	1	4	0	0	0	1	4	0	0	6	0	0	0	0	0	0	0	0
"C"	"11.09.2023"	"52.457804"	"13.366372"	15.6	36.1	22.37083333	32.8	95.6	74.00416667	33	0	0	3	0	1	0	0	0	1	0	0	0	0	1	0	0	10	0	0	0	0	0	0	0	0
